Protein A,Protein B,Publications
Q86SE9,Q99496,6
P31153,Q9NZL9,6
O75376,Q9BZK7,6
Q16186,Q99460,6
Q53EZ4,Q8WUM4,6
P01137,P37173,6
Q8N7H5,Q9GZS3,6
P51159,Q96C24,6
P25786,P28074,6
Q9P0U4,Q9UPS6,6
P25787,P49720,6
O00487,P35998,6
P36873,Q96SB3,6
Q13185,Q13263,6
Q15018,Q9NXR7,6
Q09028,Q96ST3,6
Q15648,Q9BTT4,6
P35658,Q9UBU9,6
O60832,Q96HR8,6
Q92830,Q9UPT9,6
P43686,P51665,6
O75477,O94905,6
Q13309,Q9H211,6
A0JLT2,Q96G25,6
Q9C026,Q9Y297,6
O14777,Q9HBM1,6
P62195,Q16186,6
P49792,Q14974,6
Q15796,Q9UPN9,6
Q15648,Q9UHV7,6
P04075,P09972,6
P51668,Q7Z6Z7,6
P62191,Q99460,6
Q93009,Q99496,6
P56524,P61981,6
P25787,P28066,6
P51665,Q15008,6
Q13868,Q15024,6
Q15797,Q9HAU4,6
P07910,P09651,6
O15234,P61326,6
P57740,Q12769,6
P62195,Q13200,6
Q8IZD4,Q96F86,6
Q01780,Q9NPD3,6
O00268,Q12962,6
P23511,Q13952,6
O43513,Q9BTT4,6
Q16543,Q9Y6K9,6
O60341,Q13363,6
O14744,P54105,6
Q93074,Q9NPJ6,6
Q9NPF5,Q9Y265,6
Q13045,Q32MZ4,6
P84022,Q9UPN9,6
O15344,P51668,6
Q9BTT4,Q9Y2X0,6
O00487,P62195,6
P62877,Q13620,6
P04049,P31947,6
Q13619,Q8NHY2,6
O15530,P31749,6
Q02447,Q13547,6
P26641,P29692,6
P17987,P78371,6
P49915,Q93009,6
O43683,Q12834,6
P15336,P45984,6
Q09472,Q86X55,6
Q13547,Q8WXI9,6
P61077,Q9HAU4,6
O43303,Q8IW35,6
O96019,Q9Y230,6
Q12874,Q15459,6
O15111,Q04206,6
P51665,P62191,6
O60244,Q15648,6
P20248,P61024,6
P28482,P51812,6
P19174,Q07666,6
O75791,O95630,6
P61006,Q96C24,6
P21580,Q9Y6K9,6
Q969G3,Q96GM5,6
O75340,Q9UBV8,6
Q13158,Q92851,6
P42226,Q15788,6
Q9NPD3,Q9Y3B2,6
O96019,Q9Y265,6
O15344,P61077,6
Q12933,Q9Y4K3,6
O00418,Q9UKB1,6
P55039,Q9H446,6
P62136,Q13625,6
Q13617,Q92905,6
P27986,P42338,6
P15498,P62993,6
P08047,Q02447,6
P60953,Q9BYG5,6
Q6UWZ7,Q9NXR7,6
O75461,Q14188,6
P25963,Q13616,6
P30305,P31946,6
P07992,P23025,6
P04049,P36507,6
Q8WYQ5,Q9NRR4,6
Q8NBZ0,Q9H9F9,6
Q7L5N1,Q9H9Q2,6
P09874,P42574,6
O00231,O00487,6
P51668,Q15386,6
P46934,P60484,6
Q53EL6,Q9UKB1,6
P50750,Q4G0J3,6
O00232,O00487,6
P62877,Q92466,6
O60341,O75362,6
P40692,P54132,6
Q15024,Q9Y3B2,6
P42566,Q9Y6I3,6
P49720,P49721,6
P62136,Q96SB3,6
O95155,P55072,6
Q15003,Q9NTJ3,6
O43815,P30153,6
O00716,P06400,6
Q9H0E9,Q9UBU8,6
P52292,Q14974,6
P06400,Q09028,6
Q13616,Q8N3Y1,6
P12004,P27694,6
Q9BUE0,Q9H944,6
Q29RF7,Q9UQE7,6
P12004,Q9H040,6
Q14203,Q14204,6
O60244,Q9BTT4,6
P30153,Q13033,6
O75832,P62191,6
P30305,P63104,6
O14920,Q12933,6
P09651,P31942,6
O60341,P68431,6
P42574,P55211,6
P36897,Q9HAU4,6
P61088,Q12933,6
P10809,P61604,6
P12931,P27986,6
P27694,Q14191,6
Q12834,Q9H1A4,6
P26358,Q93009,6
P49720,Q99436,6
P20226,Q15545,6
O43683,O43684,6
O00161,Q13277,6
P10636,P17612,6
O43172,O43447,6
P08047,P84022,6
Q06330,Q92585,6
Q02241,Q9H0H5,6
P26368,Q9UHX1,6
Q14186,Q16254,6
P34932,P37840,6
Q96T76,Q9Y3D0,6
Q01780,Q13868,6
Q15796,Q92793,6
Q13616,Q5XUX0,6
O43290,Q9BZL1,6
O43521,Q07812,6
Q9UK45,Q9Y4Z0,6
P61077,P98170,6
P62253,Q9UKV5,6
P43034,Q14204,6
O60341,Q9P0W2,6
P12956,Q14191,6
Q15648,Q9NX70,6
P28482,Q15418,6
O75821,Q99613,6
P20618,P28074,6
P48556,P62191,6
A0JLT2,Q9BUE0,6
P35998,P62333,6
Q15648,Q9Y2X0,6
Q13472,Q9H9A7,6
Q13618,Q86VP6,6
O60238,Q12983,6
O00257,Q13363,6
O00220,Q13158,6
P42575,P78560,6
O00487,P62333,6
Q13418,Q15404,6
P30305,Q9Y297,6
O00459,P22681,6
Q16531,Q8NHY2,6
A0JLT2,Q6P2C8,6
Q7Z434,Q9UHD2,6
O14757,Q13535,6
P52948,P57740,6
Q9BPX3,Q9NTJ3,6
O95997,Q14674,6
P09874,P12956,6
O95816,P11142,6
Q13620,Q7L5N1,6
Q7Z5K2,Q9UQE7,6
P61964,Q14686,6
O15151,P48729,6
P61201,Q13619,6
P28749,Q01094,6
P61201,Q9BT78,6
P20618,P49720,6
Q04206,Q04864,6
P38919,P61326,6
Q9NTI5,Q9UQE7,6
P25205,Q14566,6
P19793,Q14686,6
O14777,Q8NBT2,6
O75643,Q6P2Q9,6
Q16531,Q9UNS2,6
Q9BUE0,Q9NX70,6
Q86VN1,Q96H20,6
P14625,Q13438,6
Q13098,Q7L5N1,6
Q13616,Q9Y3I1,6
Q96CV9,Q9UHD2,6
O00487,P62191,6
O15111,O43318,6
P16104,P78527,6
Q13617,Q86VP6,6
A0JLT2,Q93074,6
Q03468,Q13216,6
P49815,Q15382,6
Q06265,Q9NPD3,6
P15498,Q13094,6
Q13618,Q53G59,6
P57081,Q9UBP6,6
P45973,Q13112,6
Q96AX1,Q9H269,6
P35998,P48556,6
O15144,O15145,6
Q8WUM4,Q9H444,6
O75362,Q13363,6
P14868,Q13155,6
P24928,Q8N7H5,6
P62877,Q13309,6
